"model"|"type"|"name"|"Published"|"Fetaured"|"Visibility"|"Short_description"|"Description"|"price"|"image"|"Color"|"Dimension1"|"Dimension2"|"Dimension3"|"dim1"|"dim2"|"dim3"|"Material"|"Categories"|"Tags"
"006-000013"|"simple"|"Κρεβάτι Nevil μονό"|1|0|"visible"||"Το κρεβάτι Nevil pakoworld μονό, διαστάσεων 100x200, διαθέτει ενισχυμένο ξύλινο σκελετό και επένδυση με PU τεχνόδερμα σκούρου καφέ ματ.  Εξοπλίζεται με ανατομικές τάβλες και κεφαλάρι με ενισχυμένες ραφές. Η βάση του κρεβατιού έχει 4 υπερυψωμένα πόδια για εύκολο καθαρισμό.  Ιδανικό για επαγγελματική χρήση και οικιακή χρήση."|"125.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-6.jpg, https://www.pakoworld.com/image/catalog/products/006-000013-7.jpg"|"καφέ"|"100.0"|"200.0"||||||"Υπνοδωμάτιο, Κρεβάτια"|"Επαγγελματικός σχεδιασμός, Ανατομική υποστήριξη, Άνεση, Μοντέρνος, Λείο, Σταθερό"
"006-000014"|"simple"|"Κρεβάτι Nevil"|1|0|"visible"||"Το κρεβάτι μονό Nevil διαθέτει ενισχυμένο ξύλινο σκελετό και επενδυμένο με τεχνόδερμα PU μαύρου ματ.  Εξασφαλίζει άνεση με ανατομικές τάβλες και κεφαλάρι με ενισχυμένες ραφές. Ιδανικό για επαγγελματική χρήση. Διαθέτει διαστάσεις 106x212x87 εκ. και βάση με 4 υπερυψωμένα πόδια.  Το προϊόν παραδίδεται αμοντάριστο."|"125.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-6.jpg, https://www.pakoworld.com/image/catalog/products/006-000014-7.jpg"|"μαύρο"|"100.0"|"200.0"||||||"Υπνοδωμάτιο, Κρεβάτια"|"Επαγγελματική χρήση, Άνεση, Ανατομικές τάβλες, Σύγχρονο στυλ, Εργονομία, Κατανομή βάρους"
"006-000015"|"simple"|"Κρεβάτι Nevil"|1|0|"visible"||"Το κρεβάτι Nevil διπλού μεγέθους (150x200) προσφέρει μινιμαλιστική αισθητική. Κατασκευασμένο από ενισχυμένο ξύλο και τεχνόδερμα PU σε μαύρο ματ χρώμα, διαθέτει ανατομικές τάβλες και υπερυψωμένα πόδια για εύκολο καθάρισμα. Ιδανικό για μικρούς χώρους, απαιτεί αμοντάρισμα (δεν περιλαμβάνει οδηγίες συναρμολόγησης)."|"144.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000015-6.jpg"|"μαύρο"|"150.0"|"200.0"|||||"ξύλο"|"Υπνοδωμάτιο, Γραφείο"|"Μινιμαλισμός, Σύγχρονος σχεδιασμός, Διπλό κρεβάτι, Εύκολος καθαρισμός, Ερμητικό, Χαμηλό προφίλ"
"006-000016"|"simple"|"Κρεβάτι Roi"|1|0|"visible"||"Το κρεβάτι Roi είναι η επιλογή σας για πολυτέλεια και λειτουργικότητα. Κατασκευάζεται από ενισχυμένο ξύλο και επενδυμένο με τεχνόδερμα PU υψηλής ποιότητας, προσφέροντας ανθεκτικότητα και ευκολία στον καθαρισμό. Διαθέτει ανατομικές τάβλες και μηχανισμό ανασηκώματος, ιδανικό για αποθηκευτικό χώρο. Διαστάσεις: 172x218x109 εκ."|"315.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-6.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-7.jpg, https://www.pakoworld.com/image/catalog/products/006-000016-8.jpg"|"λευκό"|"160.0"|"200.0"|||||"ξύλο"|"Υπνοδωμάτιο Κρεβάτι"|"Ρομαντικό, Άνεση, Λειτουργικό, Επένδυση, Ρυθμιζόμενο, Αποθηκευτικό"
"006-000017"|"simple"|"Κρεβάτι Roi"|1|0|"visible"||"Το μοντέλο Roi είναι ένα πολυτελές κρεβάτι με αποθηκευτικό χώρο, ιδανικό για όσους επιθυμούν ποιότητα και πρακτικότητα. Κατασκευάζεται από ενισχυμένο ξύλινο σκελετό και επενδυμένο 100% με τεχνόδερμα PU υψηλής ποιότητας σε μαύρο ματ χρώμα. Περιλαμβάνει ανατομικές τάβλες και μηχανισμό ανάτασης, προσφέροντας ευρύχωρο αποθηκευτικό χώρο."|"315.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-1.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-2.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-3.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-4.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-5.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-6.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-7.jpg, https://www.pakoworld.com/image/catalog/products/006-000017-8.jpg"|"μαύρο"|"160.0"|"200.0"||||||"Υπνοδωμάτιο Κρεβάτι"|"Ευχάριστο, Πολυτέλεια, Λειτουργικό, Σύγχρονο, Ραχιατόσπορος, Ανατομικό"
"056-000001"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε την πολυτέλεια του πουφ Norm. Κατασκευασμένο με αδιάβροχο ύφασμα υψηλής ποιότητας και εσωτερική γέμιση από διογκωμένη πολυστερίνη, προσφέρει άνεση και υποστήριξη. Το εξωτερικό του είναι ενισχυμένο και ανθεκτικό στη βρωμιά, ενώ διαθέτει αδιάβροχη επίστρωση. Διαστάσεις: 65x65x80 εκ."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000001-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000001-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000001-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000001-4.jpg"|"κόκκινο"|||||||"ύφασμα"|"Καταναλωτικά Είδη, Διακοσμητικά"|"Ανεξάρτητη χαλάρωση, Σύγχρονος σχεδιασμός, Άνεση, Επίπεδη επιφάνεια, Εύκολη συντήρηση, Μοντέρνος πουφ"
"056-000002"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε την πολυτέλεια και την άνεση του πουφ Norm. Κατασκευασμένος από αδιάβροχο ύφασμα γαλάζιου χρώματος και εσωτερικά με διογκωμένη πολυστερίνη υψηλής αντοχής, προσφέρει εξαιρετική στήριξη και άνεση. Το εξωτερικό ύφασμα είναι ανθεκτικό στην ακαθισία και το νερό, καθαρίζεται εύκολα με κρύο νερό και σαπούνι. Διαστάσεις: 65x65x80 εκ."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000002-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000002-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000002-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000002-4.jpg"|"γαλάζιο"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Συμπαθητικός, Μοντέρνος, Άνεση, Πολυτέλεια, Σύγχρονος, Επένδυση"
"056-000003"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε στιγμές χαλάρωσης με τον πουφ Norm. Κατασκευασμένο από ενισχυμένο αδιάβροχο ύφασμα πορτοκαλί χρώματος και εσωτερικά με διογκωμένη πολυστερίνη υψηλής αντοχής, προσφέρει άνεση και υποστήριξη. Διαστάσεις: 65εκ (Μήκος) x 65εκ (Πλάτος) x 80εκ (Ύψος). Καθαρίζεται με κρύο νερό και σαπούνι."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000003-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000003-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000003-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000003-4.jpg"|"πορτοκαλί"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Χαλάρωση, Άνεση, Μοντέρνος, Γωνιακό, Σύγχρονος, Ραδιενεργός"
"056-000004"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε την απόλυτη χαλάρωση με τον πουφ Norm. Κατασκευασμένο από ενισχυμένο, 100% αδιάβροχο ύφασμα πράσινου χρώματος και εσωτερικά γεμάτο με διογκωμένη πολυστερίνη υψηλής αντοχής, προσφέρει άνεση και ανθεκτικότητα. Διαστάσεις: 65εκ (Μήκος) x 65εκ (Πλάτος) x 80εκ (Ύψος)."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000004-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000004-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000004-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000004-4.jpg"|"πράσινο"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Αναπαυτικό, Μοντέρνος, Επιδεικτικό, Οικονομικός, Άνεση, Σύγχρονο"
"056-000005"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε την άνεση του πουφ Norm, κατασκευασμένου με αδιάβροχο ύφασμα μπλε χρώματος και εσωτερική γεμίσματα από πολυστερίνη υψηλής αντοχής. Το σχέδιο του ακολουθεί το σχήμα του σώματός σας για στιγμές χαλάρωσης. Διαστάσεις: 65εκ (Μήκος) x 65εκ (Πλάτος) x 80εκ (Ύψος).  Το ύφασμα καθαρίζεται με κρύο νερό και σαπούνι."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000005-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000005-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000005-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000005-4.jpg"|"μπλ"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Άνεση, Χαλάρωση, Σχήμα σώματος, Μοντέρνος σχεδιασμός, Κρυφός χώρος, Σύγχρονη άνεση"
"056-000012"|"simple"|"Πουφ πολυθρόνα Eco"|1|0|"visible"||"Αυτή η funky πολυθρόνα/πουφ Eco προσφέρει άνεση και ξεκούραση, με εσωτερικά διογκωμένη πολυστερίνη και εξωτερικά επενδύσεις από αδιάβροχο, ενισχυμένο πολυεστερικό ύφασμα σε γκρι απόχρωση. Ιδανική για πολλώνωρη χρήση και ευέλικτη τοποθέτηση."|"59.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000012-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000012-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000012-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000012-4.jpg, https://www.pakoworld.com/image/catalog/products/056-000012-5.jpg"|"γκρι"|||||||"ύφασμα"|"Σαλόνι, Κουζίνα"|"Άνεση, Μοντέρνο, Ευέλικτο, Χαλαρό, Πολλαπλής Χρήσης, Σύγχρονο"
"056-000019"|"simple"|"Πουφ μαξιλάρι Pigro"|1|0|"visible"||"Το πουφ Pigro είναι ένα μοντέρνο και άνετο έπιπλο για χαλάρωση. Κατασκευάζεται με εσωτερικό από διογκωμένη πολυστερίνη υψηλής αντοχής και εξωτερικά με ενισχυμένο πολυεστερικό ύφασμα γκρι χρώματος. Το ύφασμα είναι αδιάβροχο, ανθεκτικό στις ακτίνες του ήλιου και της υγρασίας, και καθαρίζεται εύκολα. Διαστάσεις: 175x135x25 εκ."|"79.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000019-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000019-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000019-4.jpg, https://www.pakoworld.com/image/catalog/products/056-000019-5.jpg"|"γκρι"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Μοντέρνος σχεδιασμός, Άνεση, Χαλάρωση, Διάταξη χώρου, Μίνιμαλ, Λειτουργικό"
"056-000036"|"simple"|"Πουφ Puko"|1|0|"visible"||"Το πουφ Puko είναι μια αθόρυβη λύση για στιγμές χαλάρωσης. Κατασκευασμένο από ενισχυμένο ανθρακί ύφασμα και εσωτερικά με διογκωμένη πολυστερίνη υψηλής αντοχής, διαθέτει διαστάσεις 95x95x70 εκ.  Είναι ιδανικό για οικιακές και επαγγελματικές χρήσεις, προσφέροντας άνεση και ανθεκτικότητα."|"125.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000036-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000036-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000036-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000036-4.jpg"|"ανθρακί"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Χαλάρωση, Άνεση, Σύγχρονο, Ευελιξία, Διάταξη, Λειτουργικό"
"056-000037"|"simple"|"Πουφ πολυθρόνα Norm"|1|0|"visible"||"Απολαύστε στιγμές χαλάρωσης με την πουφ πολυθρόνα Norm. Κατασκευασμένη από αδιάβροχο ύφασμα κίτρινου χρώματος, διαθέτει εσωτερικά διογκωμένη πολυστερίνη υψηλής αντοχής. Το εξωτερικό της είναι ενισχυμένο και αδιάβροχο, ιδανικό για άνεση και ευκολία στο καθάρισμα (με κρύο νερό και σαπούνι). Διαστάσεις: 65x65x80 εκ."|"42.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/056-000037-1.jpg, https://www.pakoworld.com/image/catalog/products/056-000037-2.jpg, https://www.pakoworld.com/image/catalog/products/056-000037-3.jpg, https://www.pakoworld.com/image/catalog/products/056-000037-4.jpg"|"κίτρινο"|||||||"ύφασμα"|"Σαλόνι, Γραφείο"|"Αίσθηση άνεσης, Χαλάρωση, Μοντέρνος σχεδιασμός, Ευκολία καθαρισμού, Απλότητα, Ραχιαρή ζώνη"
"119-000042"|"simple"|"Γραφείο Labirent"|1|0|"visible"||"Το Labirent είναι ένα μοντέρνο γραφείο σχεδιασμένο για να ξεχωρίσεις. Κατασκευασμένο από μοριοσανίδα με μελαμίνης και υψηλής ποιότητας πόδια σε σχήμα λαβύρινθου, προσφέρει πρακτικό χώρο αποθήκευσης. Ιδανικό για νεανικούς χώρους, διαθέτει μήκος 140 εκ., πλάτος 60 εκ. και ύψος 75 εκ."|"119.0"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/119-000042-1.jpg, https://www.pakoworld.com/image/catalog/products/119-000042-2.jpg"|"λευκό"|"140.0"|"60.0"|"75.0"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Μοντέρνο, Λαβύρινθος, Αποθηκευτικό, Νεανικός, Δυναμικό, Εργονομικό"
"119-000092"|"simple"|"Ραφιέρα τοίχου"|1|0|"visible"||"Αυτό το επιτοίχιο σύνολο 3 ραφιών, διαστάσεων 50x20x14 εκ., κατασκευάζεται από μοριοσανίδα με επένδυση μελαμίνης, προσφέροντας ανθεκτικότητα και κομψό λευκό χρώμα. Ιδανικό για τον νεανικό σας χώρο, αυτό το σύνολο ραφιών προσφέρει μέγιστη χωρητικότητα 5kg ανά ράφι."|"19.9"|"https://www.pakoworld.com/image/catalog/products/123-000001.jpg, https://www.pakoworld.com/image/catalog/products/119-000092-1.jpg, https://www.pakoworld.com/image/catalog/products/119-000092-2.jpg"|"λευκό"|"50.0"|"20.0"|"14.0"||||"μοριοσανίδα"|"Γραφείο, Κουζίνα"|"Οργανωτικός χώρος, Μοντέρνο, Λευκό, Απλό, Αποθήκευση, Διακόσμηση"
